0.21,0.42,0.63,0.16,0.26,0.47,0.37,0.58,0.79,0.05,0.16,0.37
0.05,0.26,0.47,0.11,0.26,0.47,0.11,0.26,0.47,0.00,0.16,0.37
0.16,0.37,0.58,0.11,0.21,0.42,0.21,0.37,0.58,0.05,0.16,0.37
0.26,0.47,0.68,0.16,0.32,0.53,0.32,0.47,0.68,0.16,0.32,0.53
0.26,0.47,0.68,0.16,0.37,0.58,0.26,0.47,0.68,0.11,0.32,0.53
0.47,0.68,0.89,0.37,0.58,0.79,0.42,0.63,0.84,0.26,0.47,0.68
0.42,0.63,0.84,0.26,0.47,0.68,0.42,0.63,0.84,0.21,0.42,0.63
0.37,0.58,0.79,0.16,0.32,0.53,0.42,0.63,0.84,0.11,0.26,0.47
0.47,0.68,0.89,0.37,0.58,0.79,0.53,0.74,0.95,0.21,0.37,0.58
0.53,0.74,0.95,0.37,0.58,0.79,0.53,0.74,0.95,0.32,0.47,0.68
0.53,0.74,0.95,0.32,0.53,0.74,0.53,0.74,0.95,0.32,0.47,0.68
0.42,0.63,0.84,0.26,0.42,0.63,0.47,0.68,0.89,0.26,0.42,0.63
0.58,0.79,1.00,0.32,0.53,0.74,0.58,0.79,1.00,0.47,0.68,0.89
0.42,0.63,0.84,0.37,0.58,0.79,0.47,0.68,0.89,0.32,0.53,0.74
0.32,0.53,0.74,0.05,0.26,0.47,0.32,0.53,0.74,0.16,0.37,0.58
0.53,0.74,0.95,0.26,0.47,0.68,0.58,0.79,1.00,0.32,0.53,0.74
0.53,0.74,0.95,0.37,0.58,0.79,0.58,0.79,1.00,0.37,0.58,0.79
0.58,0.79,1.00,0.47,0.68,0.89,0.58,0.79,1.00,0.42,0.63,0.84
0.58,0.79,1.00,0.47,0.68,0.89,0.58,0.79,1.00,0.42,0.63,0.84
0.58,0.79,1.00,0.42,0.63,0.84,0.58,0.79,1.00,0.42,0.63,0.84
0.58,0.79,1.00,0.47,0.68,0.89,0.58,0.79,1.00,0.47,0.68,0.89
0.58,0.79,1.00,0.37,0.58,0.79,0.47,0.68,0.89,0.42,0.63,0.84
0.58,0.79,1.00,0.47,0.68,0.89,0.53,0.74,0.95,0.47,0.68,0.89
0.58,0.79,1.00,0.53,0.74,0.95,0.58,0.79,1.00,0.47,0.68,0.89
0.53,0.74,0.95,0.53,0.74,0.95,0.53,0.74,0.95,0.47,0.68,0.89
0.53,0.74,0.95,0.47,0.68,0.89,0.53,0.74,0.95,0.42,0.63,0.84
0.47,0.68,0.89,0.42,0.63,0.84,0.42,0.63,0.84,0.42,0.63,0.84
0.53,0.74,0.95,0.42,0.63,0.84,0.47,0.68,0.89,0.42,0.63,0.84
0.32,0.53,0.74,0.26,0.47,0.68,0.37,0.58,0.79,0.26,0.47,0.68
0.58,0.79,1.00,0.42,0.63,0.84,0.58,0.79,1.00,0.47,0.68,0.89
0.32,0.53,0.74,0.26,0.47,0.68,0.32,0.53,0.74,0.32,0.53,0.74
0.53,0.74,0.95,0.37,0.58,0.79,0.47,0.68,0.89,0.32,0.53,0.74
0.26,0.47,0.68,0.37,0.58,0.79,0.26,0.47,0.68,0.32,0.53,0.74
